,Review group,doiOrLink,firstAuthor,year,title,foundThrough,mentionsFAIR,isRelevant,comments,standardsSuggestion,standardsHelp,bestPracticeSuggestion,bestPracticeHelp,documentationSuggestion,documentationHelp,dataFileSuggestion,dataFileHelp,metadataFilesSuggestion,metadataHelp,licenseSuggestion,licenseHelp,repositorySuggestion,repositoryHelp,registerySuggestion,registeryHelp,FAIRhelp,journalPublicaitonSuggestion,journalPublicationHelp
description,,Identifier of the reviewed resource,Last name of the first author,Year of publication,Title of the resource,How the resource was first found during our review process,Does the resource mention FAIR,Is the resource providing recommendations or actionable items that would make research software FAIR as per https://doi.org/10.15497/RDA00065 ?,Comments from the member(s) who reviewed the resource,Standards suggested to be followed,Resources mentioned to help with standards,Best practices/development standards suggested to follow,Resources mentioned to help with working environment,Documentation or elements of documentation suggested to be provided,Resources mentioned to help with documentation,Data files suggested to be shared,Resources mentioned to help with data files,Metadata files suggested to be included,Resources to help with metadata,License suggested to be used,Resources mentioned to help with license,Repository suggested for sharing research software,Resources mentioned to help with repository selection,Registry suggested to share software research metadata,Resources mentioned to help with registry selection,Resources mentioned to help with making research software FAIR,,
exampleOrOptions,,,,,,,yes/no,yes/no,,,,,,,,,,,,,,,,,,,,
1,1,https://doi.org/10.15497/RDA00065,Chue Hong,2021,FAIR Principles for Research Software (FAIR4RS Principles),,yes,yes,,,"Examples of community standards for data are curated by the
FAIRSharing Registry at https://fairsharing.org/standards/.",,,,,,,"Intrinsic metadata, such as a codemeta.json file in the source code repository, is guaranteed to be controlled by the authors but must be exposed to make the software findable.",,"To support a wide range of reuse scenarios, the license should be as open as possible. Software does not need to be open source licensed to be FAIR: FAIR ? Open, Nevertheless, for software it may be easier to make it FAIR if it is open source.","Software must have a license that clearly describes how it can be used and reused, ideally with conditions that are clear to humans and machines (e.g. using the specification published by the SPDX Consortium, 2020)",,,,,,,
2,1,https://doi.org/10.1016/j.patter.2021.100222,Katz,2020,Taking a fresh look at FAIR for research software,,yes,yes,Summarizes findings of the FAIR4RS working group 1 but do not cover actionable items much,,,,,,,"Source code, Executable (Figure 1)",,,,,,,,,,,,
3,1,https://doi.org/10.3233/DS-190026,Lampretch,2020,Towards FAIR principles for research software,,yes,yes,,,,,,,,,,"There are currently multiple projects working on concrete solutions to add structured metadata annotations to software. Examples include the biotoolsSchema [26], a formalised schema (XSD) used by the bio.tools project [27,28]; the CodeMeta set of terms [29] and Bioschemas Tool profile [30]. The latter two work on top of schema.org, a project aiming to make it easier to add structured markup to web pages, and help search engines to index them. Additionally, some programming languages provide a way to add metadata to software sources, i.e., packages; and often require them to be in a specific format and/or adhere to some guidelines. For instance, R packages must include metadata in the DESCRIPTION file [31] while PEP 566 describes metadata for Python software packages.

Regardless of the metadata description approach used, the use of controlled vocabularies provided by community-approved ontologies is recommended. These will vary dependent on the research domain. The Software Ontology [32] is a resource that can be used to describe software, including types, tasks, versions, provenance and associated data. In the case of life sciences, we advise to use elements from ontologies such as EMBRACE Data and Methods ontology (EDAM) [33]. EDAM provides unambiguously defined terms for describing the types of data and data identifiers, data formats, operations and topics commonly used in bioinformatics. In the geosciences, OntoSoft [34,35] is an ontology designed to facilitate the annotation and publication of software with rich metadata.

This leads us to propose a new FAIR principle I4S for research software: “Software dependencies are documented and mechanisms to access them exist”. The present tendency to package software and its dependencies, either in virtual environments and/or software containers, alleviates the practical concerns for the final user, and simply moves the issue to the generation of those packages. Software deployment systems (PyPI, Conda, CRAN, . . . ) provide solutions for this, and this information can be aggregated by services such as Libraries.io.

Provenance refers to the origin, source and history of software and its metadata. It is recommended to use well-known provenance vocabularies, for instance PROV-O [63], that are FAIR themselves.

Although there is no standard way to cite software currently, the Software Sustainability Institute provides more information and discussions on this topic, and there are guidelines developed for particular domains e.g. earth sciences [65] and mathematics [66], as well as generic guidelines defined by the FORCE11 Software Citation Working Group based on the Software Citation Principles [64].

Initiatives such as CodeMeta [29], Bioschemas [67] and the RDA Research Schemas [68] have made preliminary recommendations for community-agreed software descriptors, but broader work, especially regarding the mapping across different vocabularies, is still needed","A registry of the available controlled vocabularies, data types, formats and schemas that may be used by the software can be found at FAIRsharing.org.","Traditionally, research software has been created and maintained as Free and/or Open Source Software (FOSS). However, while there is a clear overlap between the objectives of FAIR and FOSS with regard to accessibility and reusability, they are not the same (see also [13]). FOSS is mostly concerned with source code being open and licensed under an open license. Open source and permissive licenses are desirable for FAIR software, but although FAIR has its roots in the “FOSS-loving” research software community, they are not a requirement as such. Indeed FAIR does not require data to be open, as clearly certain data sets (e.g., patients’ electronic health records, genomics sequences) require adequate access control (see go-fair FAQ [14])","For example, the Software Package Data Exchange standard [62] facilitates that software licenses becomes machine readable.","For example, Git, currently the most popular technology for software source code version control, works with commit hashes (SHA1), which uniquely point to the specific snapshot of the source code. However, this identifier is not globally resolvable and GitHub (one of the most popular repositories for software source code based on Git technologies) does not make any guarantees about the accessibility or sustainability of code on the platform (persistence), and thereby the software published therein. A common community solution to this problem is depositing software releases from GitHub to Zenodo [24], an open publishing platform funded by the European Commision, and developed and hosted by Centre Européen Recherche Nucléaire (CERN). Zenodo mints DOIs for each released version of the software, and also creates a concept DOI which refers to all versions of a given software [25].

There are chiefly three classes of registries and repositories: (i) general ones such as Zenodo, GitHub itself, and comprehensive software archives as run by the Software Heritage project [36], (ii) language-specific ones such as CRAN, PyPI, and (iii) domain-specific ones such as the bioinformatics-specific BioConductor [37], bio.tools and BioContainers [38] registries, the Astrophysics Source Code Library (ASCL) [39], swMath [40] for mathematical software, CLARIN [41] for digital humanities software source code and the different science gateways based on the HUBzero [42] open source software platform. The choice of the registry/repository may be influenced by the programming language used and/or the operating system most used by the respective community. For example, most of the Python packages are registered in PyPI and/or one of the Conda [43] channels. R packages go to CRAN, Bioconductor.org and/or source code repositories like GitHub. Linux distributions have their own package managers with software repositories.  

For example, GitHub can host the software source code and can be connected to Zendo, FigShare, bio.tools or FAIRsharing.org [45] for hosting additional copies of the research software metadata. Zenodo promises metadata, and a snapshot of the software release, to be available for the upcoming 20 years, even when the versioned source code on GitHub may not be accessible any more.",,"There are chiefly three classes of registries and repositories: (i) general ones such as Zenodo, GitHub itself, and comprehensive software archives as run by the Software Heritage project [36], (ii) language-specific ones such as CRAN, PyPI, and (iii) domain-specific ones such as the bioinformatics-specific BioConductor [37], bio.tools and BioContainers [38] registries, the Astrophysics Source Code Library (ASCL) [39], swMath [40] for mathematical software, CLARIN [41] for digital humanities software source code and the different science gateways based on the HUBzero [42] open source software platform. The choice of the registry/repository may be influenced by the programming language used and/or the operating system most used by the respective community. For example, most of the Python packages are registered in PyPI and/or one of the Conda [43] channels. R packages go to CRAN, Bioconductor.org and/or source code repositories like GitHub. Linux distributions have their own package managers with software repositories.         

For example, GitHub can host the software source code and can be connected to Zendo, FigShare, bio.tools or FAIRsharing.org [45] for hosting additional copies of the research software metadata. Zenodo promises metadata, and a snapshot of the software release, to be available for the upcoming 20 years, even when the versioned source code on GitHub may not be accessible any more.",,,,
4,2,https://doi.org/10.5281/zenodo.4095092,Gruenpeter,2020,M2.15 Assessment report on 'FAIRness of software,https://doi.org/10.15497/RDA00065,yes,yes,,,,,,,,,,"The CodeMeta initiative created a concept vocabulary that can be used to standardize the exchange of software metadata across repositories and organizations ( Jones et al., 2016 ). It was a result of the FORCE11 Software Citation working group...The vocabulary is built over the schema.org classes SoftwareApplication and SoftwareSourceCode which links the data for semantic web discovery. In addition, the CodeMeta crosswalk table can facilitate translation between ontologies and metadata standards for software, the Rosetta stone of software metadata.",,,"The Software Package Data Exchange (SPDX) Specification is a standard format to communicate about software components, licenses and copyrights22. SPDX is the standard used by many organizations and is adopted in industry and in the FOSS community when agreeing on naming licenses. The Reuse project23, which was started by the Free Software Foundation Europe (FSFE)24 is complementary to SPDX, it facilitates the application of a license to software, with three steps: 1. Choose license 2. Add license 3. Confirm REUSE compliance","With this in mind, assigning persistent identifiers to software is much more tricky than it seems. One can deposit metadata and code into an archiving service (e.g Zenodo, HAL) and get an identifier for this exact instance of the version with the coupled set of metadata. It is evident that the software will evolve and change much faster than the metadata, which won’t be visible on these deposits. Software Heritage provides an archiving service that captures the entire development history and provides a PID which is an intrinsic identifier that can identify each and every element of the source code with integrity (called the SWHID20). SWHIDS can identify all granularity levels from snapshots (GL5) to fragments of code (GL10). In the intrinsic identifier’s case only the content is identified and again the metadata should be registered in a registry, linking the metadata record to the archived content.

Alongside the traditional IR, a new archive has emerged this past few years, the universal source code archive - Software Heritage (SWH). It aims to collect, preserve and share all software source code publicly available ( Di Cosmo & Zacchiroli, 2017 ) . With SWH, it is possible to use the `save code now` functionality to preserve a complete snapshot of a git (or other version control system) repository the same way web pages can be saved with the wayback machine28. Clearly, preserving the software resources for research is a core element to answer many aspects of the FAIR principles for software. Software archiving does not necessarily mean the software must be published, but it should be publicly available in a permanent location. In annex C.1 , we present two case studies for archives: Zenodo and Software heritage.

A few precious examples exists that are discipline specific, like ASCL34 for astrophysics software ( Allen and Scmidt, 2015 ) and swMath35 for mathematical software ( Bönisch et al. 2013, Chrapary et al. 2017 ). Note that there are also package managers that can play the role of a registry without the academic focus, for example CRAN36 for software packages in R or PyPI37 for software packages in Python.",,"With this in mind, assigning persistent identifiers to software is much more tricky than it seems. One can deposit metadata and code into an archiving service (e.g Zenodo, HAL) and get an identifier for this exact instance of the version with the coupled set of metadata. It is evident that the software will evolve and change much faster than the metadata, which won’t be visible on these deposits. Software Heritage provides an archiving service that captures the entire development history and provides a PID which is an intrinsic identifier that can identify each and every element of the source code with integrity (called the SWHID20). SWHIDS can identify all granularity levels from snapshots (GL5) to fragments of code (GL10). In the intrinsic identifier’s case only the content is identified and again the metadata should be registered in a registry, linking the metadata record to the archived content.

A few precious examples exists that are discipline specific, like ASCL34 for astrophysics software ( Allen and Scmidt, 2015 ) and swMath35 for mathematical software ( Bönisch et al. 2013, Chrapary et al. 2017 ). Note that there are also package managers that can play the role of a registry without the academic focus, for example CRAN36 for software packages in R or PyPI37 for software packages in Python.",,,,
5,2,https://op.europa.eu/s/vkhr,European Commission,2018,Turning FAIR into reality,https://doi.org/10.15497/RDA00065,yes ,no,Does not address research software specifically,,,,,,,,,,,,,,,,,,,
6,,https://doi.org/10.5281/zenodo.4635410,Katz,2021,FAIR4RS WG subgroup community consultation March 2021,https://doi.org/10.15497/RDA00065,yes,no,Does not provide guideliens or suggestions for actionable items,,,,,,,,,,,,,,,,,,,
7,2,https://doi.org/10.15497/RDA00053,Research Data Alliance/FORCE11 ,2019,Use Cases and Identifier Schemes for Persistent Software Source Code Identification (V1.0),https://doi.org/10.15497/RDA00065,yes,no,Provides a review of PID but does not make any recommendations,,,,,,,,,,,,,,,,,,,
8,2,https://arxiv.org/abs/2101.10883v4,Katz,2021,A Fresh Look at FAIR for Research Software,https://doi.org/10.1016/j.patter.2021.100222,yes,yes,,,,"A version control system (VCS) may provide detailed provenance for software, but the quality of detail, especially of agents, entities and actions will depend on careful, consistent and considered use of the VCS",,,,"Software is usually written in a human readable form (source code), which will either be executed by an interpreter, or compiled into one or more binary forms suitable for execution within specific hardware and operating system combinations (limiting potential (re)use). We consider making the original human readable form available most harmonious with the FAIR principles, but recognise that for commercial, historical, or sensitivity reasons, the binary or binaries may be the only available form of some software. The binary itself is opaque and may contain bugs and errors. It is impossible to verify its validity and it cannot be modified, for example, to fix bugs. Binaries can be considered black boxes that we can “use” or “reuse” in a research workflow to produce, analyze, or act on data. Source code, on the other hand, can be interrogated, modified, and “reused” in other software or research workflows in a wider range of environments. 

Following the discussion in Section 3.3 , source code is the preferred format for FAIR software, providing a view into the mind of the designer, which is not possible with the binary. With the code, the logic of the software can be “reused” even if the software won't be executed and “used.”",,"The CodeMeta initiative is a subset of the Schema.org vocabulary that was developed to capture properties that aren’t available in schema.org. It is also a research community driven project to capture all software metadata vocabularies, available in the CodeMeta crosswalk table. A possible solution to the gap is to maintain a codemeta.json file inside the software source code repository, which then can be retrieved and indexed in a source code archive. ",The CodeMeta generator1 is a tool that can help researchers create a codemeta.json file.,,,"Fig 2: The museum icon indicates that the software is preserved in a secured location with the purpose of archiving (e.g., Zenodo, Software Heritage, etc.)",,"For instance, software metadata can be captured in domain specific registries like swMath.org or the Astrophysics Source Code Library (ASCL), in general repository solutions like Zenodo, or via a persistent identifier scheme like DOIs.

Gap1 solution: Depositing software in an Institutional Repository (IR) or a Zenodo-like repository (extrinsic metadata)",,,,
9,2,https://doi.org/10.2777/28598,European Commission,2020,Scholarly infrastructures for research software,https://doi.org/10.1016/j.patter.2021.100222,yes,yes,Provides mainly high-level recommendations for supporting FAIR research software but makes some recommendations for actionable items. ,,,,,,,,,all metadata exchange between the different components of the architecture should be based on the CodeMeta vocabulary. EU,,"all metadata about software must be licensed as Creative Commons CC0.

While we subscribe to the general statement that all research output should be “as open as possible, as closed as necessary”, we believe that to fully achieve the potential of Open Science, all research software should be made available under an Open Source license by default, and all deviations from this default practice should be properly motivated. We recommend including this clause in all future research funding programs.",Licence information (software): SPDX license list,"Software Heritage assembles not only research software, but source code in general. It makes use of systematic harvesting, so no explicit deposit is needed, and uniformly represents all VCSs, with provenance and traceability. Intrinsic identifiers for software are used systematically for the over 20 billion software artifacts in the archive, covering all levels of granularity, such as project status, project release, state of source code, and code fragment. 

HAL, on the other hand, is specific to research software and requires deposit. The service has extensive, software-specific, metadata and involves human intervention for careful and manual curation of metadata. Extrinsic identifiers are assigned to the metadata, but intrinsic identifiers are assigned, via transfer to Software Heritage, to the software source code itself. 

Zenodo assembles mainly research software. Like HAL, a deposit is required, however deposit automation is possible for users of GitHub that explicitly enable synchronisation with Zenodo. Metadata can be edited by the owner, and support for more advanced curation processes is planned. Extrinsic identifiers (DOIs) are assigned to both the project as a concept, and the software specific release. Integration with Software Heritage is planned.",,,,,,
10,2,https://doi.org/10.12688/f1000research.11407.1,Jiménez,2017,Four simple recommendations to encourage best practices in research software,https://doi.org/10.3233/DS-190026,yes,yes,"Based on the recommendations for Open Source Software (OSS)  but  demonstrated how they align with FAIR principles. 

Related to this: https://softdev4research.github.io/4OSS-lesson/",,,"Develop source code in a publicly accessible, version controlled repository (e.g., GitHub and Bitbucket) from the beginning of the project.  Opening code and exposing the software development life cycle publicly from day one: • Promotes trust in the software and broader project • Facilitates the discovery of existing software development projects • Provides a historical public record of contributions from the start of the project and helps to track recognition • Encourages contributions from the community • Increases opportunities for collaboration and reuse • Exposes work for community evaluation, suggestions and validation • Increases transparency through community scrutiny • Encourages developers to think about and showcase good coding practices • Facilitates reproducibility of scientific results generated by all prior versions of the software • Encourages developers to provide documentation, including a detailed user manual and clear in-code comments

Docker is an open source project that automates the deployment of software applications in a sandbox (called container).

Containers are a way to package software so that it can be run isolated on an operating system, e.g. Linux. Unlike virtual machines, containers do not bundle a full operating system - only libraries and settings, required to make the software work. This makes containers efficient, lightweight systems and guarantees that software runs reproducibly, regardless of where it is deployed.",,"README - The ‘front page’ of your project

The simplest documentation is the README.md file. For more visibility, a small website can be easily created to host the documentation, for example using the GitHub pages or ReadTheDoc.",,,,"The Dublin Core Metadata Initiative), or “DCMI” It is an open organization supporting innovation in metadata design and best practices across the metadata ecology
CodeMeta Includes tools for preparing metadata in JSON format
Schema.org To describe software applications
SoftwareX Code metadata To publish software with its respective metadata
EDAM Ontology EDAM is a comprehensive ontology of well-established, familiar concepts that are prevalent within bioinformatics and computational biology, including types of data and data identifiers, data formats, operations and topics)
BioSchema.org Bioschemas is a community project built upon schema.org. It provides customisations, a.k.a. profiles, on top of schemas.org types and properties. Profiles include examples together with guidelines regarding cardinality, marginality and reuse of well-known vocabularies in Life Sciences.",,"We advise choosing a OSI-approved Open Source Licence unless your institution or project requires a different licence.

By including an open source license in your repository, it makes easier for other people to contribute. Most of the projects places their license information in a file named LICENSE (LICENSE.txt or LICENSE.md or LICENSE.rst or COPYING, COPYING.txt, COPYING.md, COPYING.rst are also used) in the root of the repository.",Websites like “Choose an open source license” provide guidelines to help users to select an OSI-approved Open Source Licence. Organisations like the OSS Watch also provide advice on how to keep track of the licences of software dependencies. ,,,"Examples of community registries of software metadata are bio. tools (Ison et al., 2016), (Ison et al., 2016) biojs.io (Corpas et al., 2014; Gómez et al., 2013) and Omic Tools (Henry et al., 2014) in the life sciences and DataCite (Brase, n.d.) as a generic metadata registry for software as well as data.

bio.tools This is a portal to bioinformatics resources worldwide, aimed to help bioinformaticians and scientists find, understand, compare and select resources, as well as use and connect them in workflows.
As a platform, it makes use of the EDAM ontology, and therefore provides a standardized vocabulary for providing metadata. Moreover, it includes aspects such as language and platform. However, it does not support filters by language nor does it assign a doi to the software (which is to be expected, as it serves as a registry and not a repository).

OMICTools This is a commercial service providing a registry of tools relevant in life sciences, containing sufficient metadata for connecting different tools in a single pipeline. However, it is not an open registry, i.e. the authors need to contact the development team in order for a tool to be included.

Astrophysics Source Code Library The Astrophysics Source Code Library (ASCL) is a free online registry for source codes of interest to astronomers and astrophysicists and lists codes that have been used in research that has appeared in, or been submitted to, peer-reviewed publications. It is fairly simple compared to other registries, but it focused on a particular domain (astrophysics).

BioCatalogue The BioCatalogue is a curated catalogue of Life Science Web Services. The BioCatalogue was launched in June 2009 at the Intelligent Systems for Molecular Biology Conference. The project is a collaboration between the myGrid project at the University of Manchester led by Carole Goble and the European Bioinformatics Institute led by Rodrigo Lopez. It is funded by the Biotechnology and Biological Sciences Research Council. It contains only web services. The BioCatalogue is based on an open source Ruby on Rails codebase.

Metadata tools from the US Federal Geographic Data Committee This is a complete list of tools for capturing software metadata in the Geographic Data domain.

Zenodo Zenodo is a research data repository. It was created by OpenAIRE and CERN to provide a place for researchers to deposit datasets. It launched in 2013, allowing researchers in any subject area to upload files up to 50 GB. Zenodo has integration with GitHub to make code hosted in GitHub citable. Zenodo is a general-purpose open access repository.",,,,
11,2,https://doi.org/10.7717/peerj-cs.86,Smith,2016,Software citation principles,https://doi.org/10.3233/DS-190026,no,yes,Focuses on principles for citing software. Discusses about existing metadata standards but does not recommend any explicitely,,,,,,,,,,,,,"For software, we recommend the use of DOIs as the unique identifier due to their common usage and acceptance, particularly as they are the standard for other digital products such as publications.

This is currently offered by services such as figshare and Zenodo (GitHub, 2014), which both generate persistent DataCite DOIs for submitted software",https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,,,,,
12,2,https://doi.org/10.7287/peerj.preprints.2630v1,Katz,2016,"Software vs. data in the
context of citation,",https://doi.org/10.3233/DS-190026,no,no,Discussed differences between software and data,,,,,,,,,,,,,,,,,,,
13,2,https://doi.org/10.1162/dint_a_00033,Goble,2020,FAIR Computational Workflows,https://doi.org/10.3233/DS-190026,yes,no,"This paper focuses on current limitations for making computational workflows FAIR. It concludes that ""FAIR principles for data, and for software, are generally applicable, but need to be extended in order to address the processual nature of workflows""",,,,,,,,,,,,,,,,,,,
14,2,"https://doi.org/10.5281/zenodo.1324296
",Ferguson,2018,D3.1 Survey of Current PID Services Landscape,https://doi.org/10.3233/DS-190026,no,yes,Reviews Persistent Identifiers (PIDs). Includes some sections specifically on software,,,,,,,,,"Another challenge is the variety of metadata standards used in the community. The Codemeta project64 tries to address this challenge by providing a crosswalk table between these metadata standards, and codemeta support is added to an increasing number of services facilitating software citation9.",,,"There are initiatives that maintain databases of Licenses. One example is Software Package Data Exchange (SPDX)73 which aims to standardize the way that license information, including components, license and","Several initiatives currently facilitate software citation. One is the CERN-hosted online repository Zenodo59, which allows source code from the popular software development site GitHub to be preserved and cited through its infrastructure by registering DOIs for research software60. Of the now more than 50k DOIs registered for software, more than 80% were registered via Zenodo61.

DOIs might be the preferred persistent identifier for citing research software in most communities, however there is another highly relevant identifier used to track changes during software code development (versioning): the “commit hash” of the version control system, e.g. git, that is based on Merkle trees. Hashes are derived directly from the software code, and (with some exceptions) globally unique. These hashes are used heavily by source code repositories such as GitHub, and by Software Heritage, an archive for software source code66 that archives GitHub as well as the now defunct source code repositories Google Code and Microsoft CodePlex.",,,,,,
15,2,https://doi.org/10.1093/bib/bbz075,Ison,2019,Community curation of bioinformatics software and data resources,https://doi.org/10.3233/DS-190026,no,no,This paper is about a biomedical software registry (bio.tools) that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
16,2,https://doi.org/10.1093/bioinformatics/btx192,Leprevost,2017,BioContainers: An open-source and community-driven framework for software standardization,https://doi.org/10.3233/DS-190026,no,no,This paper is about a tool that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
17,2,https://doi.org/10.5281/zenodo.2555498,Martinez,2019,Top 10 FAIR Data & Software Things - Research Software,https://doi.org/10.3233/DS-190026,yes,yes,,,,"make your code modular, have code level documentation, provide tests, follow code standards, use version control, etc","There are several guidelines which you can use to guide you in the process such as the eScience Center Guide, the best practices and the good enough practices. https://guide.esciencecenter.nl/#/. https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001745, https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005510","List all operations that your software provides, and describe them along with corresponding input and output data types. If possible, use terms from a domain ontology like EDAM.

Your software should include sufficient documentation: instructions on how to install, run and use your software. All dependencies of your software should be clearly stated. Provide sufficient examples on how to execute the different operations your software offers, ideally along with example data.",Write the Docs page explains and gives examples of good documentation: https://www.writethedocs.org/guide/writing/beginners-guide-to-docs/,,,"Codemeta is a set of keywords used to describe software and way to structure them in machine readable way

Edam is an example of an ontology that provides terminology that can be used to describe bioinformatics software.

Read documentation of Citation File Format and create CFF file for your software","For examples of Codemeta used in software packages see: • https://github.com/NLeSC/boatswain/blob/master/codemeta.json • https://github.com/datacite/maremma

https://softdev4research.github.io/4OSS-lesson/05-use-registry/index.html

https://citation-file-format.github.io/cff-initializer-javascript/#/",,"Choose a license website provides a simple guide for picking the right license for your software: https://choosealicense.com/

Follow the 4OSS lesson to learn more about licenses and their implications: https://softdev4research.github.io/4OSS-lesson/03-use-license/index.html","For example, Zenodo provides you with a DOI (Digital Object Identifier) that will be resolvable for at least the next 20 years. Recent initiatives, such as Software Heritage, propose to associate a permalinks as intrinsic SHA1 identifier to software. 

Is it hosted on a reliable platform (long term persistent, such as Zenodo, PyPI, CRAN)?",https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,Here are some examples of research software registries: * bio.tools * Research Software Directory (check if your institution hosts one) * rOpenSci Project * Zenodo,https://softdev4research.github.io/4OSS-lesson/05-use-registry/index.html,,,
18,2,https://doi.org/10.3389/fninf.2017.00069,Benureau,2018,"Re-run, repeat, reproduce, reuse, replicate: Transforming code into scientific contributions",https://doi.org/10.3233/DS-190026,no,yes,,,,,,A proper documentation on how to install and run the software often makes the difference whether other researchers manage to use it or not,,Code and input data and result data should be available,,,,,,"through a DOI link to a scientific repository such as Figshare, Zenodo5 or a domain specific database, such as ModelDB for computational neuroscience.",,,,,,
19,3,https://www.ouvrirlascience.fr/opportunity-note-encouraging-a-wider-usage-of-software-derived-from-research/,Clément-Fontaine,2019,Opportunity Note: Encouraging a wider usage of software derived from research,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,"Provides high-level recommendations only

""sustainable and public since the example of Google Code, a free software development platform which closed in 2015, demonstrated that the private sector cannot guarantee long-term sustainability.""

This all requires metadata quality control procedures which are absent in repositories such as FigShare or Zenodo3 but are currently being developed for HAL4.",,,,,,,,,,,,,,,,,,,
