,Review group,doiOrLink,firstAuthor,year,title,readDate,foundThrough,mentionsFAIR,isRelevant,comments,standardsSuggestion,standardsHelp,bestPracticeSuggestion,bestPracticeHelp,documentationSuggestion,documentationHelp,dataFileSuggestion,dataFileHelp,metadataFilesSuggestion,metadataHelp,licenseSuggestion,licenseHelp,repositorySuggestion,repositoryHelp,registerySuggestion,registeryHelp,FAIRhelp,journalPublicaitonSuggestion,journalPublicationHelp
description,,Identifier of the reviewed resource,Last name of the first author,Year of publication,Title of the resource,Date reviewed in mm/dd/yyyy format,How the resource was first found during our review process,Does the resource mention FAIR,Is the resource providing recommendations or actionable items that would make research software FAIR as per https://doi.org/10.15497/RDA00065 ?,Comments from the member(s) who reviewed the resource,Standards suggested to be followed,Resources mentioned to help with standards,Working environment suggested,Resources mentioned to help with working environment,Documentation or elements of documentation suggested to be provided,Resources mentioned to help with documentation,Data files suggested to be shared,Resources mentioned to help with data files,Metadata files suggested to be included,Resources to help with metadata,License suggested to be used,Resources mentioned to help with license,Repository suggested for sharing research software,Resources mentioned to help with repository selection,Registry suggested to share software research metadata,Resources mentioned to help with registry selection,Resources mentioned to help with making research software FAIR,,
exampleOrOptions,,,,,,,,yes/no,yes/no,,,,,,,,,,,,,,,,,,,,
1,1,https://doi.org/10.15497/RDA00065,Chue Hong,2021,FAIR Principles for Research Software (FAIR4RS Principles),12/1/2021,,yes,yes,,,https://fairsharing.org/standards/.,,,,,,,CodeMeta,,Open source licenses,https://spdx.dev/,,,,,,,
2,1,https://doi.org/10.1016/j.patter.2021.100222,Katz,2020,Taking a fresh look at FAIR for research software,12/1/2021,,yes,yes,Summarizes findings of the FAIR4RS working group 1 but do not cover actionable items much,,,,,,,Source code; Executable,,,,,,,,,,,,
3,1,https://doi.org/10.3233/DS-190026,Lampretch,2020,Towards FAIR principles for research software,12/1/2021,,yes,yes,,,,,,,,,,biotoolsSchema; CodeMeta; Bioschemas; R packages DESCRIPTION file; PEP 566 Metadata for Python Packages; Software Ontology; EDAM; PROV-O; RDA Research Schemas,,Open source licenses; Permissive licenses,https://spdx.dev/,Zenodo; Software Heritage; CRAN; PyPI; Conda; Figshare; Bioconductor,,Zenodo; Software Heritage; CRAN; PyPI; Figshare; BioConductor; bio.tools; Conda; BioContainers,,,,
4,2,https://doi.org/10.5281/zenodo.4095092,Gruenpeter,2020,M2.15 Assessment report on 'FAIRness of software,,https://doi.org/10.15497/RDA00065,yes,yes,,,,,,,,,,CodeMeta,,,https://spdx.dev/; https://reuse.software/,Zenodo; HAL; Software Heritage; CRAN; PyPI,,Zenodo; HAL; Software Heritage; CRAN; PyPI,,,,
5,2,https://op.europa.eu/s/vkhr,European Commission,2018,Turning FAIR into reality,,https://doi.org/10.15497/RDA00065,yes ,no,Does not address research software specifically,,,,,,,,,,,,,,,,,,,
6,,https://doi.org/10.5281/zenodo.4635410,Katz,2021,FAIR4RS WG subgroup community consultation March 2021,,https://doi.org/10.15497/RDA00065,yes,no,Does not provide guideliens or suggestions for actionable items,,,,,,,,,,,,,,,,,,,
7,2,https://doi.org/10.15497/RDA00053,Research Data Alliance/FORCE11 ,2019,Use Cases and Identifier Schemes for Persistent Software Source Code Identification (V1.0),,https://doi.org/10.15497/RDA00065,yes,no,Provides a review of PID but does not make any recommendations,,,,,,,,,,,,,,,,,,,
8,2,https://arxiv.org/abs/2101.10883v4,Katz,2021,A Fresh Look at FAIR for Research Software,,https://doi.org/10.1016/j.patter.2021.100222,yes,yes,,,,Develop with a version control system ,,,,Source code,,CodeMeta,https://codemeta.github.io/codemeta-generator/,,,Zenodo; Software Heritage,,Zenodo,,,,
9,2,https://doi.org/10.2777/28598,European Commission,2020,Scholarly infrastructures for research software,,https://doi.org/10.1016/j.patter.2021.100222,yes,yes,Provides mainly high-level recommendations for supporting FAIR research software but makes some recommendations for actionable items. ,,,,,,,,,CodeMeta,, Open source licenses,https://spdx.dev/,Software Heritage; HAL; Zenodo,,,,,,
10,2,https://doi.org/10.12688/f1000research.11407.1,Jiménez,2017,Four simple recommendations to encourage best practices in research software,,https://doi.org/10.3233/DS-190026,yes,yes,"Based on the recommendations for Open Source Software (OSS)  but  demonstrated how they align with FAIR principles. 

Related to this: https://softdev4research.github.io/4OSS-lesson/",,,"Develop with a version control system (GitHub, Bitbucket); Use container technologies (Docker)",,README; GitHub pages; ReadTheDoc,,,,CodeMeta; EDAM; Bioschemas,,OSI-approved licenses,"https://choosealicense.com/; http://oss-watch.ac.uk/;

Most of the projects places their license information in a file named LICENSE (LICENSE.txt or LICENSE.md or LICENSE.rst or COPYING, COPYING.txt, COPYING.md, COPYING.rst are also used) in the root of the repository.",,,bio.tools; biojs.io; Omic Tools; DataCite; BioCatalogue,,,,
11,2,https://doi.org/10.7717/peerj-cs.86,Smith,2016,Software citation principles,,https://doi.org/10.3233/DS-190026,no,yes,Focuses on principles for citing software. Discusses about existing metadata standards but does not recommend any explicitely,,,,,,,,,,,,,Figshare; Zenodo,https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,,,,,
12,2,https://doi.org/10.7287/peerj.preprints.2630v1,Katz,2016,"Software vs. data in the
context of citation,",,https://doi.org/10.3233/DS-190026,no,no,Discussed differences between software and data,,,,,,,,,,,,,,,,,,,
13,2,https://doi.org/10.1162/dint_a_00033,Goble,2020,FAIR Computational Workflows,,https://doi.org/10.3233/DS-190026,yes,no,"This paper focuses on current limitations for making computational workflows FAIR. It concludes that ""FAIR principles for data, and for software, are generally applicable, but need to be extended in order to address the processual nature of workflows""",,,,,,,,,,,,,,,,,,,
14,2,"https://doi.org/10.5281/zenodo.1324296
",Ferguson,2018,D3.1 Survey of Current PID Services Landscape,,https://doi.org/10.3233/DS-190026,no,yes,Reviews Persistent Identifiers (PIDs). Includes some sections specifically on software,,,,,,,,,CodeMeta,,,https://spdx.dev/,Zenodo; Software Heritage,,,,,,
15,2,https://doi.org/10.1093/bib/bbz075,Ison,2019,Community curation of bioinformatics software and data resources,,https://doi.org/10.3233/DS-190026,no,no,This paper is about a biomedical software registry (bio.tools) that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
16,2,https://doi.org/10.1093/bioinformatics/btx192,Leprevost,2017,BioContainers: An open-source and community-driven framework for software standardization,,https://doi.org/10.3233/DS-190026,no,no,This paper is about a tool that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
17,2,https://doi.org/10.5281/zenodo.2555498,Martinez,2019,Top 10 FAIR Data & Software Things - Research Software,,https://doi.org/10.3233/DS-190026,yes,yes,,,,Make code modular; Have code level documentation; Provide tests; Develop with a version control system,https://guide.esciencecenter.nl/#/; https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001745; https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005510,,Write the Docs page explains and gives examples of good documentation: https://www.writethedocs.org/guide/writing/beginners-guide-to-docs/,,,CodeMeta; EDAM; Citation File Format,https://citation-file-format.github.io/cff-initializer-javascript/#/,,https://choosealicense.com/; https://softdev4research.github.io/4OSS-lesson/03-use-license/index.html,Zenodo; Software Heritage; PyPI; CRAN,https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,bio.tools; Research Software Directory; rOpenSci Project; Zenodo,https://softdev4research.github.io/4OSS-lesson/05-use-registry/index.html,,,
18,2,https://doi.org/10.3389/fninf.2017.00069,Benureau,2018,"Re-run, repeat, reproduce, reuse, replicate: Transforming code into scientific contributions",,https://doi.org/10.3233/DS-190026,no,yes,,,,,,,,Source code; Input data; Result data,,,,,,Figshare; Zenodo; ModelDB,,,,,,
19,3,https://www.ouvrirlascience.fr/opportunity-note-encouraging-a-wider-usage-of-software-derived-from-research/,Clément-Fontaine,2019,Opportunity Note: Encouraging a wider usage of software derived from research,,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,"Provides high-level recommendations only

""sustainable and public since the example of Google Code, a free software development platform which closed in 2015, demonstrated that the private sector cannot guarantee long-term sustainability.""

This all requires metadata quality control procedures which are absent in repositories such as FigShare or Zenodo3 but are currently being developed for HAL4.",,,,,,,,,,,,,,,,,,,
20,3,https://doi.org/10.3233/ISU-170824,Mons,2017,"Cloudy, increasingly FAIR; revisiting the FAIR Data guiding principles for the European Open Science Cloud",,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,Discusses FAIR data and not software,,,,,,,,,,,,,,,,,,,
21,3,https://doi.org/10.1515/itit-2019-0040,Hasselbring ,2020,From FAIR research data toward FAIR and open research software,,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,yes,,,,Make code modular; Use container technologies (Docker); Develop with a version control system (GitHub),,,,,,Citation File Format; CodeMeta,,Open source licenses,,Zenodo; Software Heritage,https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,,,,,
22,3,https://doi.org/10.1162/dint_a_00026,Weigel,2020,Making Data and Workflows Findable for Machines,,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,Does not focus on research software,,,,,,,,,,,,,,,,,,,
23,3,https://hal.archives-ouvertes.fr/hal-02475835,Di Cosmo,2020,Curated Archiving of Research Software Artifacts: lessons learned from the French open archive,,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,no,yes,"SWH is used as for sharing in the proposed project but it is innitiated by the SWH team so we do not include it under recommended repository

""Today, there exist platforms that offer source code deposit, such as Zenodo and Figshare, but do not have any pre-submission checks for the self-archived content. HAL chose to follow ArXiv’s example10 and implement a sophisticated moderation workflow in order to ensure that quality metadata is attached to every deposit into the platform.""

""We argue that this requires human intervention, and that it is not enough to just share software on code hosting platforms like GitHub, or self-archive it on repositories like Figshare or Zenodo.""",,,,,README,,,,CodeMeta,,Licenses from the SPDX referential catalog,https://spdx.dev/,,,,,,,
24,3,https://doi.org/10.12688/f1000research.23224.2,Anzt,2021,"An Environment for Sustainable Research Software in Germany and beyond: Current State, Open Challenges, and Call for Action",,https://doi.org/10.5281/zenodo.4555865,yes,yes,"""Research software contributors should have an ORCID iD to be uniquely identifiable and referable""",,,Use container technologies (Docker),,,Doxygen,,,Citation File Format; CodeMeta,,FSF-approved licenses; OSI-approved licenses; Apache 2.0; MIT,,Zenodo; Figshare; Mendeley Data; CRAN,https://inveniosoftware.org/,,,,,
25,3,https://doi.org/10.1016/j.cels.2018.03.014,Gruning,2018,Practical Computational Reproducibility in the Life Sciences,,https://doi.org/10.5281/zenodo.4555865,no,yes,Best practices more oriented for analysis workflow,,,,,,,,,,,,,,,,,,,
26,3,http://arxiv.org/abs/1908.05986,Hasselbring,2019,FAIR and Open Computer Science Research Software,,https://doi.org/10.5281/zenodo.4555865,yes,no,Preprint of previsouly listed paper https://doi.org/10.1515/itit-2019-0040,,,,,,,,,,,,,,,,,,,
27,3,https://doi.org/10.12688/f1000research.26932.2,Katz,2021,The Importance of Software Citation,,https://doi.org/10.5281/zenodo.4555865,no,yes,,,,,,,,,,,,Open source licenses,https://choosealicense.com/,,,,,,,
28,3,https://doi.org/10.1055/s-0040-1713684,Sinaci,2020,From Raw Data to FAIR Data: The FAIRification Workflow for Health Research,,https://doi.org/10.5281/zenodo.4555865,yes,no,Focused on health data not research software,,,,,,,,,,,,,,,,,,,
29,3,https://doi.org/10.5281/zenodo.4310217,Martinez-Ortiz,2020,"Five recommendations for ""FAIR software""",,https://zenodo.org/communities/fair4rs,yes,yes,,,,"Develop with a version control system (GitHub, Bitbucket, GitLab)",https://software.ac.uk/choosing-repository-your-software-project,README,,,,CodeMeta; Citation File Format,https://citation-file-format.github.io/cff-initializer-javascript/#/,Apache 2.0; MIT,https://choosealicense.com/; https://tldrlegal.com/,Zenodo; Figshare; Software Heritage,,,https://github.com/NLeSC/awesome-research-software-registries,,,
30,4,https://dx.doi.org/10.12688%2Ff1000research.16015.1,Navale,2018,Long-term preservation of biomedical research data,12/02/2021,PubMed,yes,no,Does not discuss FAIR software,,,,,,,,,,,,,,,,,,,
31,4,https://doi.org/10.1371/journal.pone.0213013,Madduri,2019,Reproducible big data science: A case study in continuous FAIRness,12/02/2021,PubMed,yes,yes,Describes a workflow developed by the authors for processing big data and explains how it was made FAIR. Focuses more on the overall workflow that includes data and code rather than on making software FAIR,,,"Use container technologies (Docker, Singularity)",,,,Source code,,,,,,,,,,,,
32,4,https://doi.org/10.1021/acs.jcim.0c00018,Gygli,2020,Simulation Foundry: Automated and F.A.I.R. Molecular Modeling,12/02/2021,PubMed,yes,no,"Simulation Foundry (SF), an open platform to guarantee the repeatability of molecular
dynamics simulations (MDS). It achieves that by making simulation data and metadata FAIR. It is not focused on making research software FAIR but rather the data transitioning through it.",,,,,,,,,,,,,,,,,,,
33,4,https://dx.doi.org/10.12688%2Fwellcomeopenres.16378.2,Austin,2020,Fostering global data sharing: highlighting the recommendations of the Research Data Alliance COVID-19 working group,12/02/2021,PubMed,yes,no,"There is a section on high-level recommendation for making software FAIR along with references, but no actionable items are directly mentioned.",,,,,,,,,,,,,,,,,,,
34,5,https://doi.org/10.12688/f1000research.10750.2,Silva,2017,General guidelines for biomedical software development,,Author knowledge,,,Useful for best practices,,,"Develop with a version control system (GitHub, Bitbucket); Have code level documentation; Use container technologies (Docker)",,,Sphinx3; Javadoc,,,,,Open source licenses,"The license should be stated clearly on the project’s front page and in the root of the source code. The full license text can be included here in a file called COPYING or LICENSE, following the standard format. The copyrights should be assigned together with the license. The common nomenclature adds the year and the organization owning the copyright: Copyright (C) <year><name of organization>. The year specification may be a range, such as 2014–2016, to restrict the copyright to a period of time28. This line should be included in the headers of all source code files, together with a short license.",,,,,,,
35,5,https://datascience.nih.gov/tools-and-analytics/best-practices-for-sharing-research-software-faq,NIH,2021,Best Practices for Sharing Research Software,,Author knowledge,yes,yes,,,,"Develop with a version control system (GitHub, Bitbucket, GitLab)",,,https://bssw.io/items?topic=documentation,Source code; Executable,,Citation File Format,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-citation-files,OSI-approved licenses,https://opensource.org/licenses,Zenodo; Conda; Bioconductor; Dockstore,,,,,,
